Product ID;Attribute (Name:Type:Position);Value (Value:Position);
1;"Catalog - Number of Pages":select:1;"60 Pages (Cover + 56 Inside)":13
1;"Catalog - Number of Pages":select:1;"64 Pages (Cover + 56 Inside)":14
1;"Catalog - Number of Pages":select:1;"68 Pages (Cover + 64 Inside)":15
1;"Catalog - Number of Pages":select:1;"72 Pages (Cover + 68 Inside)":16
1;"Catalog - Number of Pages":select:1;"76 Pages (Cover + 72 Inside)":17
1;"Catalog - Number of Pages":select:1;"80 Pages (Cover + 76 Inside)":18
1;"Catalog - Number of Pages":select:1;"84 Pages (Cover + 80 Inside)":19
1;"Catalog - Number of Pages":select:1;"88 Pages (Cover + 84 Inside)":20
1;"Catalog - Number of Pages":select:1;"92 Pages (Cover + 88 Inside)":21
1;"Catalog - Number of Pages":select:1;"96 Pages (Cover + 92 Inside)":22
1;"Catalog - Cover Paper":select:1;"Same as Inside Pages":0
1;"Catalog - Cover Paper":select:1;"100 lb. Gloss Cover":1
1;"Catalog - Cover Paper":select:1;"13 pt. Matte Cover":2
1;"Catalog - Inside Pages Color":select:1;"Full Color":0
1;"Catalog - Inside Pages Color":select:1;"Black and White":1
1;"Catalog - Inside Pages Paper":select:1;"100 lb. Gloss Text":0
1;"Catalog - Inside Pages Paper":select:1;"70 lb. Matte Text":1
1;"Catalog - Inside Pages Paper":select:1;"80 lb. Matte Text":2
1;"Catalog - Binding":select:1;"Saddle-Stitched (Stapled)":0
1;"Catalog - Binding":select:1;"Wire-O":1
1;"Catalog - Production Turnaround":select:1;"Economy":0
1;"Catalog - Production Turnaround":select:1;"Standard":1
1;"Catalog - Production Turnaround":select:1;"Express":2
1;"Catalog - Production Turnaround":select:1;"Rush":3
1;"Catalog - Proofing":select:1;"No Hardcopy Proof":0
1;"Catalog - Proofing":select:1;"Standard Hardcopy Proof":1
1;"Catalog - Proofing":select:1;"Next Day Hardcopy Proof":2
1;"Catalog - Quantity":select:1;"25":0
1;"Catalog - Quantity":select:1;"50":1
1;"Catalog - Quantity":select:1;"100":2
1;"Catalog - Quantity":select:1;"150":3
1;"Catalog - Quantity":select:1;"200":4
1;"Catalog - Quantity":select:1;"250":5
1;"Catalog - Quantity":select:1;"500":6
1;"Catalog - Quantity":select:1;"750":7
1;"Catalog - Quantity":select:1;"1,000":8
1;"Catalog - Quantity":select:1;"2,000":9
1;"Catalog - Quantity":select:1;"2,500":10
1;"Catalog - Quantity":select:1;"3,000":11
1;"Catalog - Quantity":select:1;"3,500":12
1;"Catalog - Quantity":select:1;"4,000":13
1;"Catalog - Quantity":select:1;"5,000":14
1;"Catalog - Quantity":select:1;"5,500":15
1;"Catalog - Quantity":select:1;"6,000":16
1;"Catalog - Quantity":select:1;"6,500":17
1;"Catalog - Quantity":select:1;"7,000":18
1;"Catalog - Quantity":select:1;"7,500":19
1;"Catalog - Quantity":select:1;"8,000":20
1;"Catalog - Quantity":select:1;"8,500":21
1;"Catalog - Quantity":select:1;"9,000":22
1;"Catalog - Quantity":select:1;"10,000":23
1;"Catalog - Quantity":select:1;"12,500":24
